segment #,AEP 1,AEP 2,PLV 1,PLV 2,PLV inter,PSDa1,PSDa2,PSDt1,PSDt2,PSDf1,PSDf2,flow1,flow2,teamflow
11,-4.656306828979201e-07,-2.2922082450263227e-07,0.7012694720970162,0.711993628548353,0.45361071429782984,-4.384024574713133,0.16941858366919055,-10.821863432666245,-14.274561759025435,-4.524744208948155,-8.056964174192457,0.0909091688951431,0.09090927742758471,0.9034984969998049
12,1.0417166940308471e-07,6.146048564584325e-08,0.6704950947876598,0.7115536519507909,0.4521741553133294,-6.372819513928717,-4.352140370184456,-10.944686756669585,-14.557265595252264,-2.2254382964392967,-7.2002060272328645,0.08333342830039364,0.08333352395476784,0.910835308643914
13,-1.6150887986131522e-07,3.2526937702807995e-07,0.7136217813665736,0.720952158852884,0.4543721874833921,-4.561221276621965,-3.587939815326237,-11.236197974210327,-14.524969409372344,-5.387639749502891,-8.249150049250542,0.0769231841322864,0.07692327101638805,0.9172193850992264
14,0.0,0.0,0.6965905400575415,0.7091231936644681,0.4637571902204212,-4.9175419734952435,-1.5847061492304904,-11.424566923539354,-14.974130571259247,-4.28760552767416,-8.297618076488504,0.07142868643082075,0.07142877111682447,0.9227815361364234
15,0.0,0.0,0.6895022980129776,0.7142188289103003,0.4549114555777993,-3.5568487023970796,-5.410186684938601,-11.488233181398362,-14.502726793317295,-5.312001634229052,-7.842635769551292,0.0666667879414849,0.06666687124154871,0.9276218950759322
16,1.8426030692887503e-07,-5.267916848389959e-07,0.6997137911475667,0.7041460564515775,0.4693400122645469,-3.9457004377729654,1.6940134043248722,-10.82843392157589,-14.491976695816355,-4.786674403181744,-7.795194408898942,0.06250012451175407,0.0625002106289998,0.9320277112566634
17,-2.905776696040687e-07,4.5216261163779007e-07,0.661718356347793,0.7167486846949476,0.43494878029925954,-4.0818890739808324,0.033107425937287244,-10.32623306456463,-14.459386997968215,-0.6241137341166544,-6.3329802058952,0.05882366078376857,0.05882374118835484,0.9358273707229212
18,0.0,0.0,0.6285881148652138,0.7125882022072904,0.4544669407925207,-2.9288622348764557,-2.5877564099625485,-8.436221583266157,-13.863478051281533,0.47144016310330505,-6.676012425114467,0.055555693187555905,0.05555576712546617,0.9390966031118394
19,-3.512616467576954e-07,-1.4129591336892194e-07,0.6696263761214367,0.7310179198166276,0.43722066619310396,-6.536087994610969,-4.126239171781241,-10.97836902456338,-14.797394231121594,-2.964779175651772,-7.660166441593746,0.05263172102035512,0.05263179187206026,0.9418143204028971
20,0.0,0.0,0.7117647767320923,0.6935477943235279,0.44613649325308247,-5.539790320930709,-1.523712289735692,-11.12430036717217,-15.071600263940317,-2.9027350733627912,-8.128493167667967,0.05000014490492542,0.05000021514486517,0.9442052706143569
